AbB 1, 1: 1	a-na <DIŠ:>D:EN.ZU-i-din-n[am]
AbB 1, 1: 2	qí-bí-ma
AbB 1, 1: 3	[um-m]a <DIŠ:>ḫa-am-mu-ra-bi-ma
AbB 1, 1: 4	[aš-šum ša t]a-aš-pur-am um-ma at-t[a]-ma
AbB 1, 1: 5	[K]⌈U₃⌉.[BABBAR] š[a ri]-i[b]-ba-at bu-li-im
AbB 1, 1: 6	[ša te]r-di-i-tim
AbB 1, 1: 7	<B:>UGULA.MAR.TU.MEŠ i-na-ad-di-nu-ú
AbB 1, 1: 8	<B:>PA.PA.MEŠ <B:>NU.[BAN]DA₃.MEŠ ù <B:>AGA.US₂.MEŠ
AbB 1, 1: 9	i-na-ad-di-nu-ú
AbB 1, 1: 10	ṭe₄-ma-am be-lí li-iš-pur-am
AbB 1, 1: 11	ša ta-aš-pur-am
AbB 1, 1: 12	[K]⌈U₃⌉.[BABBAR] š[a] r[i]-ib-ba-at [b]u-[l]i-im
AbB 1, 1: 13	[ša te]r-di-i-tim
AbB 1, 1: 14	<B:>[UGU]LA.MAR.TU.MEŠ
AbB 1, 1: 15	ù <B:>[P]A.[P]⌈A⌉.MEŠ-ma
AbB 1, 1: 16	li-id-di-nu
AbB 1, 1: 17	<B:>NU.BANDA₃.MEŠ ù <B:>AGA.US₂.MEŠ
AbB 1, 1: 18	la i-na-ad-di-nu
AbB 1, 2: 1	a-na <DIŠ:>D:AMAR.UTU-mu-ša-lim
AbB 1, 2: 2	DIŠ:D:AMAR.UTU-la-ma-sà-šu
AbB 1, 2: 3	ù <DIŠ:>D:EN.ZU-be-el-ap-lim
AbB 1, 2: 4	qí-bí-ma
AbB 1, 2: 5	um-ma <DIŠ:>am-mi-ṣa-[d]u-qá-ma
AbB 1, 2: 6	ki-ma <DIŠ:>[x-x-d]a-ga-al <LU₂:>sa-[a]m-ḫa-ru-ú
AbB 1, 2: 7	ù <DIŠ:>ka-aš-[t]i-il DUM[U <DIŠ:>x-x-x]-nu
AbB 1, 2: 8	pa-ni 1 li 5 me ERIM <LU₂:>sa-am-ḫa-ri-i [x-x-x-x]-i
AbB 1, 2: 9	a-na AB₂.GU₄.ḪI.A U₈.UDU.ḪI.A ša er-ṣe-et <ON:>[U]D.[KI]B.[NU]N:KI_ia-aḫ<-ru>-rum
AbB 1, 2: 10	ša-ḫa-ṭi-im a-na li-ib-bu ma-tim i-bi-ru-nim
